Entrenando Modelo Final...
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
--- Inicio entrenamiento: 400 épocas (17:56:47) ---
  Epo 341: Loss=0.0954 | Acc=96.35%
  Epo 342: Loss=0.0954 | Acc=96.35%
  Epo 343: Loss=0.0953 | Acc=96.35%
  Epo 344: Loss=0.0953 | Acc=96.35%
  Epo 345: Loss=0.0952 | Acc=96.35%
  Epo 346: Loss=0.0952 | Acc=96.35%
  Epo 347: Loss=0.0951 | Acc=96.40%
  Epo 348: Loss=0.0950 | Acc=96.40%
  Epo 349: Loss=0.0950 | Acc=96.40%
  Epo 350: Loss=0.0949 | Acc=96.40%
  Epo 351: Loss=0.0949 | Acc=96.40%
  Epo 352: Loss=0.0948 | Acc=96.40%
  Epo 353: Loss=0.0948 | Acc=96.40%
  Epo 354: Loss=0.0947 | Acc=96.40%
  Epo 355: Loss=0.0947 | Acc=96.40%
  Epo 356: Loss=0.0946 | Acc=96.40%
  Epo 357: Loss=0.0946 | Acc=96.45%
  Epo 358: Loss=0.0945 | Acc=96.45%
  Epo 359: Loss=0.0945 | Acc=96.45%
  Epo 360: Loss=0.0944 | Acc=96.45%
  Epo 361: Loss=0.0944 | Acc=96.40%
  Epo 362: Loss=0.0944 | Acc=96.40%
  Epo 363: Loss=0.0943 | Acc=96.40%
  Epo 364: Loss=0.0943 | Acc=96.40%
  Epo 365: Loss=0.0942 | Acc=96.40%
  Epo 366: Loss=0.0942 | Acc=96.40%
  Epo 367: Loss=0.0942 | Acc=96.40%
  Epo 368: Loss=0.0941 | Acc=96.40%
  Epo 369: Loss=0.0941 | Acc=96.40%
  Epo 370: Loss=0.0940 | Acc=96.40%
  Epo 371: Loss=0.0940 | Acc=96.40%
  Epo 372: Loss=0.0940 | Acc=96.40%
  Epo 373: Loss=0.0939 | Acc=96.40%
  Epo 374: Loss=0.0939 | Acc=96.40%
  Epo 375: Loss=0.0939 | Acc=96.40%
  Epo 376: Loss=0.0938 | Acc=96.40%
  Epo 377: Loss=0.0938 | Acc=96.40%
  Epo 378: Loss=0.0938 | Acc=96.40%
  Epo 379: Loss=0.0937 | Acc=96.40%
  Epo 380: Loss=0.0937 | Acc=96.40%
  Epo 381: Loss=0.0937 | Acc=96.35%
  Epo 382: Loss=0.0937 | Acc=96.35%
  Epo 383: Loss=0.0936 | Acc=96.35%
  Epo 384: Loss=0.0936 | Acc=96.35%
  Epo 385: Loss=0.0936 | Acc=96.35%
  Epo 386: Loss=0.0935 | Acc=96.35%
  Epo 387: Loss=0.0935 | Acc=96.35%
  Epo 388: Loss=0.0935 | Acc=96.35%
  Epo 389: Loss=0.0935 | Acc=96.35%
  Epo 390: Loss=0.0934 | Acc=96.35%
  Epo 391: Loss=0.0934 | Acc=96.35%
  Epo 392: Loss=0.0934 | Acc=96.35%
  Epo 393: Loss=0.0934 | Acc=96.35%
  Epo 394: Loss=0.0934 | Acc=96.35%
  Epo 395: Loss=0.0933 | Acc=96.35%
  Epo 396: Loss=0.0933 | Acc=96.35%
  Epo 397: Loss=0.0933 | Acc=96.35%
  Epo 398: Loss=0.0933 | Acc=96.35%
  Epo 399: Loss=0.0932 | Acc=96.35%
  Epo 400: Loss=0.0932 | Acc=96.35%
--- Fin entrenamiento (17:57:05) ---
Reconociendo...
--- Reconociendo con ModPT ---
Reconocidas 2000 señales.
Evaluando...
Evaluando 2000 señales...

=============================================
MATRIZ DE CONFUSIÓN (Filas=Real, Cols=Rec)
=============================================
	a	e	i	o	u
---------------------------------------------
a	386	2	0	11	1
e	1	395	3	0	1
i	0	5	389	0	6
o	9	1	0	371	19
u	1	0	0	13	386
---------------------------------------------
Exactitud Global = 96.35%
